optimizer,lr,epoch,accuracy,loss,test_accuracy,test_loss
Adadelta,0.001,200,0.4839400053024292,1.4409512281417847,0.482699990272522,1.4462474584579468
Adadelta,0.002,200,0.5317000150680542,1.324769377708435,0.5239999890327454,1.3379120826721191
Adadelta,0.003,200,0.5769799947738647,1.2096693515777588,0.5633999705314636,1.2312684059143066
Adadelta,0.004,200,0.5826799869537354,1.1950258016586304,0.574999988079071,1.2166250944137573
Adadelta,0.005,200,0.610480010509491,1.11356520652771,0.6046000123023987,1.1375885009765625
Adadelta,0.006,200,0.619379997253418,1.0987478494644165,0.607699990272522,1.1265500783920288
Adadelta,0.007,200,0.6541000008583069,0.9941251277923584,0.6370000243186951,1.0420602560043335
Adadelta,0.008,200,0.6588799953460693,0.9773805737495422,0.6428999900817871,1.0279591083526611
Adadelta,0.009000000000000001,200,0.6782000064849854,0.9314965009689331,0.6484000086784363,1.0006189346313477
Adadelta,0.010000000000000002,200,0.6755200028419495,0.9401574730873108,0.6488999724388123,1.0134307146072388
Adadelta,0.011,200,0.6887999773025513,0.8959865570068359,0.6646999716758728,0.9750021696090698
Adadelta,0.012,200,0.6967599987983704,0.8805681467056274,0.6662999987602234,0.9781521558761597
Adadelta,0.013000000000000001,200,0.710919976234436,0.8455036878585815,0.6780999898910522,0.940414547920227
Adadelta,0.014000000000000002,200,0.7163800001144409,0.8242570161819458,0.6725999712944031,0.9429524540901184
Adadelta,0.015,200,0.7228800058364868,0.8087142705917358,0.6801000237464905,0.9268538951873779
Adadelta,0.016,200,0.7359200119972229,0.7716500163078308,0.6920999884605408,0.9079837203025818
Adadelta,0.017,200,0.7371600270271301,0.7715327143669128,0.6876999735832214,0.9050748944282532
Adadelta,0.018000000000000002,200,0.7410399913787842,0.7564799189567566,0.6863999962806702,0.9213458299636841
Adadelta,0.019000000000000003,200,0.735040009021759,0.7703503370285034,0.6765000224113464,0.9561236500740051
Adadelta,0.02,200,0.7684599757194519,0.683168351650238,0.7009000182151794,0.8774005174636841
Adadelta,0.021,200,0.7650600075721741,0.6920557618141174,0.6937999725341797,0.9142200350761414
Adadelta,0.022000000000000002,200,0.7760000228881836,0.6591364741325378,0.6995999813079834,0.879787027835846
Adadelta,0.023,200,0.7826600074768066,0.6416094303131104,0.7085999846458435,0.8576154112815857
Adadelta,0.024,200,0.7809000015258789,0.6393663883209229,0.7059000134468079,0.8803917765617371
Adadelta,0.025,200,0.7900999784469604,0.6105455160140991,0.6987000107765198,0.9043474793434143
Adadelta,0.026000000000000002,200,0.810479998588562,0.559220552444458,0.710099995136261,0.8736773729324341
Adadelta,0.027000000000000003,200,0.8002600073814392,0.5826348662376404,0.7142000198364258,0.8650085926055908
Adadelta,0.028,200,0.8093199729919434,0.5608535408973694,0.7095000147819519,0.8829881548881531
Adadelta,0.029,200,0.8237199783325195,0.5258065462112427,0.7113000154495239,0.8851932883262634
Adadelta,0.030000000000000002,200,0.8223000168800354,0.5209522843360901,0.7063999772071838,0.9291065335273743
